Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,      + LameR,0.4321,0.6602,0.8553,0.439,0.6322,0.8933,0.2538,0.357,0.7633,0.714,0.9593,0.4063,0.9388,0.6955,0.1704,0.2337,0.5558,0.3896,0.5139,0.4424,0.596,0.5034,0.6940
,      + MUGI,0.4321,0.6394,0.8732,0.4003,0.6069,0.8882,0.2162,0.3173,0.7707,0.7063,0.9627,0.3926,0.9381,0.6771,0.1628,0.2368,0.5652,0.4006,0.5114,0.4436,0.5767,0.4912,0.6943
,      + CSQE,0.4496,0.6873,0.8921,0.4067,0.6083,0.8596,0.2103,0.3322,0.7913,0.7183,0.9543,0.4008,0.9403,0.6757,0.16,0.22,0.5466,0.3767,0.5078,0.4504,0.5795,0.4966,0.6924
SPLADE + +,Original Query,0.505,0.7308,0.8728,0.4999,0.7197,0.8998,0.2426,0.3846,0.8605,0.7036,0.9353,0.3883,0.9836,0.727,0.1283,0.3473,0.6314,0.4374,0.5627,0.4169,0.4416,0.5395,0.7018
,      + GenQR,0.4818,0.6449,0.887,0.4296,0.6115,0.8989,0.2221,0.3386,0.8,0.6942,0.9297,0.5211,0.9851,0.706,0.1263,0.3057,0.6309,0.3703,0.5386,0.395,0.4527,0.5097,0.6944
,      + GenQREnsemble,0.4549,0.5948,0.8824,0.4665,0.6307,0.902,0.2385,0.3292,0.8005,0.6964,0.946,0.518,0.9815,0.642,0.1117,0.2882,0.6249,0.3589,0.5194,0.4049,0.4814,0.4959,0.6944
,      + QA-Expand ,0.4479,0.6574,0.889,0.4575,0.6156,0.8945,0.2175,0.3143,0.8305,0.6616,0.9547,0.517,0.9829,0.6431,0.1103,0.2978,0.6387,0.3613,0.5111,0.391,0.4548,0.4955,0.6963
,      + Q2K,0.4205,0.5474,0.8734,0.3983,0.5312,0.9001,0.2019,0.3056,0.7882,0.7115,0.9493,0.5193,0.9815,0.608,0.1093,0.2912,0.6256,0.3386,0.5134,0.4073,0.4888,0.4733,0.6922
,      + Q2D (ZS),0.4539,0.6091,0.8665,0.4697,0.6096,0.9045,0.2012,0.2904,0.8006,0.6803,0.9567,0.5196,0.9815,0.6673,0.1124,0.3117,0.6509,0.3531,0.4926,0.4027,0.4812,0.4938,0.6941
,      + Q2D (FS),0.4617,0.6095,0.8612,0.4271,0.5492,0.9062,0.1914,0.2672,0.8116,0.712,0.95,0.5199,0.9808,0.6793,0.1095,0.3079,0.6483,0.3575,0.4927,0.4146,0.4917,0.4908,0.6947
,      + Q2D (CoT),0.4635,0.6513,0.9037,0.4588,0.5948,0.9019,0.2086,0.2731,0.8239,0.6825,0.9467,0.52,0.9808,0.6567,0.1147,0.3206,0.6505,0.3697,0.5223,0.3831,0.4524,0.4946,0.6997
,      + LameR,0.4501,0.6465,0.8654,0.4671,0.6076,0.9213,0.2355,0.328,0.7917,0.6651,0.956,0.5148,0.9794,0.6339,0.1002,0.2944,0.6487,0.3499,0.4799,0.3967,0.4728,0.4930,0.6906
,      + MUGI,0.4414,0.5773,0.8929,0.4312,0.5527,0.9104,0.1984,0.2642,0.8028,0.6665,0.9593,0.5101,0.9787,0.6547,0.1045,0.2953,0.6597,0.36,0.4989,0.4001,0.4725,0.4757,0.6977
,      + CSQE,0.4751,0.6523,0.9089,0.4776,0.6164,0.9039,0.2034,0.3025,0.8057,0.6765,0.9527,0.51,0.9801,0.6096,0.1024,0.3035,0.6521,0.3661,0.483,0.4079,0.4866,0.4939,0.6973
BGE-base-en-v1.5,Original Query,0.4485,0.7016,0.8427,0.4628,0.6768,0.8547,0.0786,0.1781,0.2312,0.741,0.967,0.636,0.992,0.781,0.141,0.406,0.742,0.407,0.53,0.442,0.499,0.5284,0.6246
,      + GenQR,0.4281,0.6416,0.8381,0.4248,0.6335,0.8395,0.195,0.3375,0.8235,0.7254,0.96,0.6262,0.9893,0.7608,0.1382,0.3716,0.7167,0.3426,0.455,0.4526,0.4886,0.5435,0.6943
,      + GenQREnsemble,0.449,0.6661,0.852,0.4601,0.67,0.8582,0.2307,0.3713,0.8356,0.7375,0.9667,0.6196,0.99,0.7754,0.1379,0.3792,0.718,0.3462,0.4644,0.4589,0.5172,0.5582,0.7044
,      + QA-Expand ,0.4408,0.674,0.8469,0.4458,0.6541,0.8606,0.23,0.3418,0.8267,0.7434,0.9583,0.6208,0.99,0.7668,0.1378,0.3837,0.7309,0.3731,0.4872,0.4406,0.4862,0.5554,0.7027
,      + Q2K,0.4423,0.6646,0.8422,0.4225,0.6425,0.8443,0.2207,0.3521,0.8171,0.7378,0.9633,0.6205,0.99,0.7618,0.1379,0.3795,0.7132,0.3415,0.4534,0.4454,0.4967,0.5495,0.6953
,      + Q2D (ZS),0.4769,0.6907,0.8584,0.4695,0.6617,0.8566,0.2343,0.3675,0.8255,0.752,0.9633,0.6183,0.9893,0.822,0.144,0.4011,0.7311,0.3932,0.4932,0.4537,0.5067,0.5734,0.7076
,      + Q2D (FS),0.4663,0.6776,0.8535,0.4456,0.6402,0.8578,0.232,0.3628,0.8348,0.7454,0.9567,0.6207,0.9886,0.7922,0.1388,0.3866,0.7308,0.3922,0.4865,0.4627,0.5133,0.5645,0.7068
,      + Q2D (CoT),0.4485,0.6561,0.8397,0.4336,0.6302,0.8573,0.214,0.3391,0.83,0.7336,0.9667,0.6195,0.9893,0.7769,0.1386,0.3896,0.7244,0.3498,0.4463,0.4295,0.4584,0.5471,0.6945
,      + LameR,0.481,0.7113,0.8668,0.4959,0.6825,0.894,0.2473,0.3788,0.8315,0.7466,0.9733,0.6195,0.9908,0.7843,0.136,0.3981,0.7318,0.39,0.4838,0.4517,0.4753,0.5736,0.7093
,      + MUGI,0.4833,0.6869,0.8781,0.4833,0.6888,0.8823,0.239,0.3619,0.8495,0.7449,0.9767,0.6213,0.9922,0.8071,0.1406,0.413,0.7456,0.4106,0.5195,0.4648,0.5142,0.5777,0.7221
,      + CSQE,0.4867,0.7127,0.8803,0.4999,0.6885,0.885,0.241,0.3671,0.8348,0.7415,0.9727,0.6231,0.9893,0.7862,0.1449,0.3939,0.7437,0.3826,0.4879,0.436,0.5126,0.5702,0.7168
