Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,      + LameR,0.4325,0.6731,0.8548,0.4685,0.656,0.8865,0.2345,0.3398,0.7697,0.722,0.9393,0.4037,0.9388,0.6721,0.1748,0.236,0.5449,0.344,0.4807,0.4328,0.5575,0.4977,0.6830
,      + MUGI,0.4677,0.6835,0.8915,0.4431,0.6473,0.9017,0.2399,0.3423,0.7924,0.7318,0.9627,0.3831,0.9317,0.7062,0.1713,0.2517,0.5802,0.4085,0.5161,0.4707,0.5873,0.5139,0.7039
,      + CSQE,0.3598,0.541,0.8221,0.3388,0.5142,0.8586,0.1676,0.2436,0.7327,0.7099,0.9587,0.3964,0.9381,0.6171,0.1543,0.2401,0.5553,0.3647,0.4939,0.4271,0.5221,0.4505,0.6706
SPLADE + +,Original Query,0.505,0.7308,0.8728,0.4999,0.7197,0.8998,0.2426,0.3846,0.8605,0.7036,0.9353,0.3883,0.9836,0.727,0.1283,0.3473,0.6314,0.4374,0.5627,0.4169,0.4416,0.5395,0.7018
,      + GenQR,0.4635,0.6351,0.9162,0.4594,0.6011,0.9074,0.2015,0.3043,0.8408,0.7184,0.9633,0.3773,0.9829,0.6594,0.1163,0.3025,0.6466,0.3592,0.5267,0.4093,0.4933,0.4852,0.7104
,      + GenQREnsemble,0.493,0.6617,0.9104,0.4767,0.6044,0.9194,0.2315,0.3233,0.84,0.7158,0.956,0.3818,0.9808,0.6514,0.1166,0.2891,0.6311,0.3611,0.5276,0.4198,0.4906,0.4898,0.7081
,      + QA-Expand ,0.4982,0.6883,0.901,0.5215,0.6628,0.9279,0.2626,0.3702,0.8506,0.6939,0.942,0.3811,0.9787,0.7079,0.1215,0.336,0.6669,0.4019,0.5396,0.4227,0.4696,0.5183,0.7109
,      + Q2K,0.4836,0.632,0.9104,0.4977,0.6605,0.9142,0.2347,0.3297,0.8143,0.7206,0.9387,0.3819,0.9808,0.6747,0.1214,0.3113,0.6493,0.3716,0.5295,0.4086,0.4906,0.4990,0.7055
,      + Q2D (ZS),0.5048,0.6877,0.8916,0.4977,0.6242,0.9219,0.2658,0.3479,0.8092,23,0.9493,0.3819,0.9808,0.6645,0.1146,0.3335,0.664,0.3849,0.5064,0.4055,0.4651,2.9811,0.7003
,      + Q2D (FS),0.4802,0.6318,0.8839,0.5001,0.6471,0.9232,0.2586,0.3533,0.8005,0.7121,0.94,0.3823,0.9801,0.6715,0.1182,0.339,0.6636,0.379,0.5204,0.4292,0.4573,0.5050,0.6986
,      + Q2D (CoT),0.4845,0.6544,0.8954,0.4933,0.6271,0.9167,0.2604,0.3426,0.839,0.7065,0.9433,0.382,0.9801,0.6809,0.1163,0.3131,0.6532,0.3962,0.5324,0.4053,0.4554,0.5009,0.7035
,      + LameR,0.4741,0.6916,0.8975,0.4972,0.6254,0.9244,0.2324,0.3459,0.7969,0.7207,0.9443,0.38,0.978,0.6285,0.1143,0.3014,0.6543,0.3316,0.468,0.4012,0.4661,0.4918,0.6938
,      + MUGI,0.4824,0.6611,0.8904,0.5014,0.6432,0.9203,0.2434,0.3254,0.8105,0.69,0.9527,0.3718,0.9787,0.6317,0.1144,0.3171,0.6673,0.3843,0.5095,0.4072,0.477,0.4924,0.7023
,      + CSQE,0.4436,0.6134,0.89,0.4527,0.5883,0.9119,0.2095,0.2789,0.7872,0.7055,0.9533,0.3792,0.9801,0.6313,0.1132,0.3256,0.6702,0.3805,0.5235,0.4193,0.4601,0.4802,0.6988
BGE-base-en-v1.5,Original Query,0.4485,0.7016,0.8427,0.4628,0.6768,0.8547,0.0786,0.1781,0.2312,0.741,0.967,0.636,0.992,0.781,0.141,0.406,0.742,0.407,0.53,0.442,0.499,0.5284,0.6246
,      + GenQR,0.4321,0.6587,0.8493,0.4318,0.6568,0.8485,0.2134,0.3586,0.8389,0.7553,0.9633,0.6234,0.99,0.7987,0.144,0.3721,0.7175,0.3434,0.468,0.4548,0.5134,0.5580,0.7037
,      + GenQREnsemble,0.4699,0.6883,0.8711,0.4569,0.6645,0.862,0.2274,0.3579,0.8282,0.7469,0.9633,0.6196,0.99,0.7976,0.1425,0.3766,0.7298,0.3488,0.4758,0.4719,0.5175,0.5636,0.7089
,      + QA-Expand ,0.4481,0.6523,0.8486,0.4469,0.6612,0.8397,0.2388,0.3688,0.8113,0.7486,0.9593,0.6213,0.9893,0.7489,0.1355,0.394,0.7272,0.3718,0.4717,0.4271,0.4749,0.5549,0.6953
,      + Q2K,0.4564,0.6802,0.8662,0.4515,0.6706,0.8514,0.2256,0.3609,0.8321,0.7477,0.9633,0.6198,0.99,0.7803,0.1407,0.3816,0.7261,0.3558,0.4657,0.4504,0.5018,0.5608,0.7041
,      + Q2D (ZS),0.4929,0.7202,0.8701,0.496,0.7029,0.8743,0.2416,0.3683,0.8395,0.7541,0.9633,0.619,0.99,0.8019,0.1417,0.4155,0.7412,0.4268,0.5239,0.4467,0.4931,0.5839,0.7152
,      + Q2D (FS),0.4889,0.7157,0.8601,0.493,0.6988,0.8742,0.2323,0.348,0.8374,0.7417,0.9567,0.6188,0.99,0.7793,0.1402,0.4039,0.7311,0.4026,0.5104,0.4539,0.4763,0.5736,0.7085
,      + Q2D (CoT),0.4683,0.671,0.853,0.4668,0.6744,0.8709,0.2567,0.3722,0.8367,0.7499,0.9633,0.6194,0.9893,0.7995,0.142,0.3967,0.7409,0.3843,0.4891,0.4312,0.4754,0.5665,0.7067
,      + LameR,0.4945,0.7265,0.8894,0.5235,0.7135,0.8846,0.2363,0.3759,0.8352,0.7507,0.9593,0.6254,0.99,0.8007,0.134,0.4009,0.731,0.3827,0.4804,0.406,0.4264,0.5758,0.7034
,      + MUGI,0.5084,0.7169,0.8725,0.5215,0.7187,0.8911,0.254,0.3903,0.8354,0.7457,0.98,0.6184,0.99,0.798,0.1425,0.4228,0.7488,0.428,0.5284,0.4696,0.5081,0.5898,0.7219
,      + CSQE,0.4972,0.7304,0.8749,0.4955,0.6873,0.8535,0.2363,0.3516,0.8371,0.7583,0.96,0.621,0.9886,0.8174,0.1442,0.4112,0.7489,0.4147,0.5123,0.4351,0.4753,0.5808,0.7105
