Retriever,Method,TREC DL Benchmark,,,,,,,,,BEIR Benchmark,,,,,,,,,,,,,
,,DL 2019,,,DL 2020,,,DL-HARD,,,SciFact,,Arguana,,COVID,,FiQA,,DBPed,,NEWS,, Avg. Score,
,      + LameR,0.4242,0.6368,0.8566,0.4814,0.653,0.9002,0.2486,0.3555,0.8065,0.7253,0.9487,0.4119,0.9452,0.702,0.1661,0.2616,0.5901,0.3989,0.5159,0.4799,0.596,0.5139,0.7028
,      + MUGI,0.4783,0.6952,0.9005,0.4654,0.6578,0.8996,0.2454,0.3651,0.8216,0.7345,0.966,0.3758,0.9331,0.7137,0.1739,0.2641,0.6,0.4099,0.5309,0.5156,0.6075,0.5257,0.7148
,      + CSQE,0.4618,0.6899,0.9035,0.4501,0.6548,0.8871,0.2496,0.3658,0.7873,0.7206,0.9487,0.3977,0.9445,0.6994,0.1638,0.2473,0.5835,0.3899,0.5136,0.479,0.5909,0.5160,0.7025
SPLADE + +,Original Query,0.505,0.7308,0.8728,0.4999,0.7197,0.8998,0.2426,0.3846,0.8605,0.7036,0.9353,0.3883,0.9836,0.727,0.1283,0.3473,0.6314,0.4374,0.5627,0.4169,0.4416,0.5395,0.7018
,      + GenQR,0.5042,0.7065,0.9333,0.4849,0.626,0.9143,0.258,0.38,0.8488,0.7277,0.95,0.3755,0.9836,0.682,0.1193,0.3243,0.6774,0.3827,0.5414,0.4256,0.4877,0.5145,0.7173
,      + GenQREnsemble,0.4828,0.6859,0.902,0.4552,0.5857,0.9141,0.2029,0.3047,0.8207,0.7175,0.9433,0.3806,0.9808,0.6731,0.1198,0.3014,0.6536,0.3643,0.5365,0.4438,0.5053,0.4952,0.7085
,      + QA-Expand ,0.5337,0.7335,0.917,0.5217,0.6739,0.926,0.2469,0.3552,0.8034,0.6964,0.9493,0.3823,0.9801,0.6941,0.1152,0.3399,0.6821,0.3873,0.5289,0.4266,0.4566,0.5210,0.7065
,      + Q2K,0.5079,0.6812,0.9302,0.4917,0.6522,0.9252,0.258,0.3518,0.838,0.7187,0.9393,0.3818,0.9808,0.6869,0.1222,0.3282,0.667,0.3936,0.5477,0.4206,0.4992,0.5128,0.7166
,      + Q2D (ZS),0.5001,0.7,0.9142,0.5375,0.6875,0.9372,0.2337,0.3377,0.8389,0.7035,0.9553,0.3819,0.9808,0.634,0.1089,0.3301,0.6766,0.3947,0.5209,0.4517,0.4786,0.5135,0.7124
,      + Q2D (FS),0.4996,0.6932,0.9068,0.5339,0.6749,0.9389,0.2726,0.3771,0.8396,0.7093,0.9567,0.3826,0.9808,0.6591,0.1099,0.3446,0.689,0.391,0.5192,0.4302,0.5009,0.5180,0.7158
,      + Q2D (CoT),0.4897,0.6877,0.9153,0.5048,0.6534,0.9089,0.2373,0.3308,0.8456,0.712,0.946,0.382,0.9801,0.6858,0.1056,0.3154,0.6513,0.3926,0.5319,0.416,0.4741,0.5084,0.7065
,      + LameR,0.4829,0.6836,0.9065,0.5018,0.639,0.9378,0.2609,0.3673,0.8246,0.7182,0.9577,0.3836,0.9829,0.6312,0.1081,0.3292,0.6724,0.3559,0.4904,0.452,0.477,0.5067,0.7064
,      + MUGI,0.5026,0.6859,0.9088,0.5152,0.6508,0.9199,0.2506,0.3625,0.8111,0.7059,0.96,0.3703,0.978,0.6458,0.1118,0.3352,0.6799,0.3843,0.5137,0.4422,0.5002,0.5092,0.7093
,      + CSQE,0.503,0.6936,0.9193,0.524,0.6796,0.9397,0.2501,0.369,0.8341,0.7065,0.9593,0.3801,0.9829,0.6811,0.1116,0.3294,0.6748,0.3962,0.5232,0.4502,0.5018,0.5206,0.7163
BGE-base-en-v1.5,Original Query,0.4485,0.7016,0.8427,0.4628,0.6768,0.8547,0.0786,0.1781,0.2312,0.741,0.967,0.636,0.992,0.781,0.141,0.406,0.742,0.407,0.53,0.442,0.499,0.5284,0.6246
,      + GenQR,0.4606,0.7023,0.865,0.4618,0.6903,0.8516,0.235,0.387,0.8402,0.748,0.97,0.6256,0.9893,0.7784,0.1475,0.3924,0.733,0.3555,0.4693,0.4641,0.5089,0.5715,0.7083
,      + GenQREnsemble,0.484,0.7034,0.887,0.4825,0.6826,0.8699,0.2284,0.3572,0.8633,0.7589,0.97,0.6187,0.99,0.7999,0.1443,0.4029,0.7456,0.3759,0.4961,0.4748,0.5249,0.5749,0.7212
,      + QA-Expand ,0.5012,0.737,0.8936,0.4942,0.7074,0.8754,0.2427,0.3739,0.8543,0.7367,0.96,0.6231,0.99,0.7954,0.1419,0.4162,0.7452,0.4005,0.5087,0.4697,0.4852,0.5844,0.7171
,      + Q2K,0.4563,0.697,0.8701,0.4171,0.6422,0.8184,0.2381,0.3779,0.8306,0.7417,0.9633,0.6192,0.99,0.7741,0.1404,0.392,0.7411,0.3249,0.4268,0.4448,0.4848,0.5571,0.6962
,      + Q2D (ZS),0.4987,0.7281,0.8995,0.5329,0.7393,0.9056,0.2536,0.3786,0.8591,0.7609,0.9633,0.6187,0.99,0.8061,0.1454,0.4151,0.7489,0.4311,0.5221,0.4761,0.5108,0.5949,0.7272
,      + Q2D (FS),0.4862,0.7272,0.889,0.5168,0.7141,0.8948,0.2675,0.4074,0.8726,0.7519,0.9667,0.6179,0.9893,0.8039,0.1411,0.4205,0.7542,0.4302,0.5303,0.4715,0.5157,0.5938,0.7282
,      + Q2D (CoT),0.4759,0.7125,0.8877,0.4647,0.672,0.8756,0.2508,0.3755,0.8505,0.758,0.9633,0.6186,0.9886,0.7984,0.138,0.4009,0.7483,0.3678,0.4556,0.4331,0.4763,0.5708,0.7093
,      + LameR,0.4849,0.7032,0.8888,0.5184,0.7148,0.9026,0.2825,0.412,0.8557,0.7572,0.9733,0.6204,0.9893,0.7796,0.1373,0.408,0.741,0.4018,0.4998,0.4367,0.4591,0.5815,0.7163
,      + MUGI,0.4974,0.7351,0.8869,0.5216,0.7203,0.895,0.2621,0.4038,0.8415,0.7569,0.9767,0.6161,0.99,0.8024,0.1427,0.4294,0.7584,0.44,0.5286,0.4898,0.5212,0.5993,0.7268
,      + CSQE,0.5186,0.7551,0.9009,0.5137,0.7139,0.8968,0.2642,0.4144,0.864,0.7553,0.9633,0.6218,0.9915,0.7879,0.1431,0.4067,0.7384,0.4242,0.5229,0.4631,0.5075,0.5936,0.7254
